Date,Close/Last,Volume,Open,High,Low,Day
04/22/2020,63.82,31 324 060.00,63.58,64.67,63.28,41
04/23/2020,63.97,32 807 880.00,63.06,64.02,62.47,42
04/24/2020,63.79,32 011 260.00,64.80,64.81,63.45,43
04/27/2020,61.68,59 026 180.00,64.40,64.40,61.61,44
04/28/2020,67.07,75 872 480.00,67.07,68.00,66.27,45
04/29/2020,67.43,53 378 120.00,66.24,67.64,66.12,46
04/30/2020,66.03,41 452 780.00,66.43,67.60,65.55,47
05/01/2020,66.34,30 080 340.00,65.41,66.38,64.95,48
05/04/2020,67.56,33 030 660.00,66.90,68.70,66.87,49
05/05/2020,67.37,24 308 460.00,68.08,68.56,67.36,50
05/06/2020,68.63,27 995 180.00,68.30,68.88,67.76,51
05/07/2020,69.42,27 761 360.00,69.16,69.94,68.77,52
05/08/2020,70.16,28 242 320.00,68.91,70.83,68.86,53
05/11/2020,68.79,27 812 000.00,70.36,70.75,68.74,54
05/12/2020,67.47,36 251 700.00,68.85,69.27,66.42,55
05/13/2020,67.81,32 061 540.00,66.75,67.87,66.20,56
05/14/2020,68.66,34 154 940.00,67.50,68.72,66.95,57
05/15/2020,69.20,36 479 280.00,68.09,69.62,67.71,58
05/18/2020,68.67,25 612 980.00,69.35,69.60,68.67,59
05/19/2020,70.34,33 107 500.00,69.48,70.52,69.36,60
05/20/2020,70.14,27 703 880.00,70.40,70.77,69.67,61
05/21/2020,70.52,26 188 160.00,69.84,70.64,69.59,62
05/22/2020,70.85,41 212 860.00,71.86,72.05,70.61,63
05/26/2020,70.89,33 722 840.00,70.86,71.09,69.56,64
05/27/2020,70.84,33 879 520.00,69.84,72.04,69.80,65
05/28/2020,71.45,36 761 180.00,70.85,71.63,70.67,66
05/29/2020,71.59,24 342 800.00,70.92,71.90,70.90,67
06/01/2020,71.96,25 562 560.00,71.53,71.98,70.94,68
06/02/2020,71.82,25 123 720.00,71.92,72.33,71.49,69
06/03/2020,70.61,29 685 440.00,71.52,71.95,70.24,70
06/04/2020,71.92,34 704 880.00,70.66,72.25,70.30,71
06/05/2020,72.33,28 083 560.00,71.12,72.40,71.12,72
06/08/2020,72.81,28 184 980.00,72.27,73.40,72.16,73
06/09/2020,73.29,30 503 060.00,72.98,73.71,72.81,74
06/10/2020,70.19,39 826 640.00,72.12,72.72,70.10,75
06/11/2020,70.66,38 927 340.00,71.42,71.85,69.30,76
06/12/2020,70.99,30 121 920.00,69.54,71.24,69.40,77
06/15/2020,72.14,34 232 280.00,72.26,72.75,71.30,78
06/16/2020,72.56,30 992 300.00,72.36,73.00,71.57,79
06/17/2020,71.80,31 638 320.00,72.46,72.57,71.35,80
06/18/2020,71.59,63 157 500.00,72.20,72.39,71.07,81
06/19/2020,72.59,30 848 800.00,71.45,72.64,71.16,82
06/22/2020,73.22,28 595 280.00,72.78,73.80,72.26,83
06/23/2020,71.60,35 120 440.00,73.08,73.77,71.49,84
06/24/2020,72.07,24 609 480.00,71.50,72.15,71.00,85
06/25/2020,68.00,85 353 960.00,71.57,71.67,67.60,86
06/26/2020,69.75,36 203 600.00,67.91,69.78,67.35,87
06/29/2020,70.68,40 847 620.00,69.52,70.93,69.20,88
06/30/2020,71.90,35 503 340.00,70.56,72.15,70.49,89
07/01/2020,73.24,37 189 600.00,72.35,74.15,72.32,90
07/02/2020,74.79,31 279 940.00,74.00,75.33,73.64,91
07/06/2020,74.26,29 163 440.00,74.50,75.84,74.18,92
07/07/2020,74.80,24 993 160.00,74.72,75.29,74.28,93
07/08/2020,75.55,28 466 440.00,75.32,76.14,74.40,94
07/09/2020,77.09,37 134 080.00,75.31,77.19,74.83,95
07/10/2020,75.57,36 928 480.00,77.50,78.86,75.26,96
07/13/2020,76.03,31 700 320.00,74.52,76.15,74.18,97
07/14/2020,75.68,32 213 680.00,76.16,76.77,74.90,98
07/15/2020,75.90,30 386 900.00,75.00,75.93,74.32,99
07/16/2020,75.78,29 140 200.00,76.08,76.17,74.92,100
07/17/2020,78.29,31 145 040.00,75.76,78.51,75.18,101
07/20/2020,77.92,24 372 900.00,79.35,79.35,77.71,102
07/21/2020,78.42,18 639 700.00,78.03,78.50,77.31,103
07/22/2020,75.78,32 552 680.00,78.35,78.59,75.37,104
07/23/2020,75.59,30 888 080.00,74.95,75.88,74.42,105
07/24/2020,76.51,24 919 600.00,75.78,77.05,75.76,106
07/27/2020,75.02,34 043 480.00,76.26,76.32,74.88,107
07/28/2020,76.10,22 130 680.00,75.32,76.56,75.07,108
07/29/2020,76.57,33 427 920.00,74.85,76.89,74.61,109
07/30/2020,74.15,68 580 720.00,75.25,75.45,72.70,110
07/31/2020,73.72,46 630 280.00,74.33,74.52,73.28,111
08/03/2020,73.25,38 069 780.00,73.83,74.28,72.93,112
08/04/2020,73.68,39 599 140.00,73.47,74.12,73.17,113
08/05/2020,75.01,39 907 360.00,73.59,75.12,73.30,114
08/06/2020,74.72,31 556 520.00,75.00,75.84,74.08,115
08/07/2020,74.81,25 790 600.00,74.36,75.20,73.65,116
08/10/2020,74.02,29 087 300.00,74.62,75.50,73.90,117
08/11/2020,75.33,28 753 100.00,74.28,75.62,74.26,118
08/12/2020,75.92,29 104 160.00,75.52,76.86,75.40,119
08/13/2020,75.39,27 104 000.00,75.78,76.10,75.14,120
08/14/2020,75.90,27 572 000.00,75.73,76.28,75.40,121
08/17/2020,77.93,40 541 720.00,76.31,78.12,76.19,122
08/18/2020,77.38,33 212 220.00,77.67,78.68,77.20,123
08/19/2020,79.09,34 137 540.00,77.17,79.29,76.91,124
08/20/2020,79.02,28 929 060.00,78.85,79.89,78.40,125
08/21/2020,79.41,28 204 580.00,79.70,80.71,79.03,126
08/24/2020,80.41,42 641 680.00,79.10,80.58,79.10,127
08/25/2020,82.62,71 621 440.00,80.40,82.96,80.18,128
08/26/2020,81.72,37 232 040.00,82.68,82.75,81.29,129
08/27/2020,82.22,29 995 640.00,81.67,82.36,81.54,130
08/28/2020,81.71,36 468 120.00,82.39,82.40,81.52,131
08/31/2020,83.04,36 533 100.00,81.83,83.29,81.61,132
09/01/2020,86.41,50 223 600.00,83.69,86.66,83.32,133
09/02/2020,82.09,62 155 260.00,85.49,85.49,80.75,134
09/03/2020,79.55,52 171 360.00,81.21,82.26,77.38,135
09/04/2020,76.62,52 217 680.00,76.68,78.19,76.40,136
09/08/2020,77.85,35 494 080.00,77.88,78.45,76.80,137
09/09/2020,76.60,32 371 140.00,78.03,79.20,76.29,138
09/10/2020,76.04,31 941 740.00,76.80,78.76,74.87,139
09/11/2020,75.96,33 931 780.00,76.95,78.20,75.79,140
09/14/2020,77.07,26 621 640.00,76.80,77.98,76.59,141
09/15/2020,76.05,26 245 980.00,77.78,78.10,75.99,142
09/16/2020,74.78,37 595 020.00,74.80,75.41,73.50,143
09/17/2020,73.00,62 077 640.00,74.90,75.15,71.86,144
09/18/2020,71.56,57 776 540.00,72.00,72.42,70.33,145
09/21/2020,73.27,31 664 020.00,72.50,73.48,71.73,146
09/22/2020,70.76,33 147 000.00,72.94,73.05,70.39,147
09/23/2020,71.41,29 004 320.00,70.55,72.19,70.49,148
09/24/2020,72.25,26 467 500.00,71.63,72.50,70.67,149
09/25/2020,73.23,40 158 820.00,73.71,73.84,72.47,150
09/28/2020,73.47,19 582 040.00,73.52,73.83,72.94,151
09/29/2020,73.48,34 032 160.00,73.34,74.49,72.99,152
09/30/2020,74.50,35 589 940.00,74.21,74.95,73.96,153
10/01/2020,72.92,25 681 420.00,73.10,74.16,72.55,154
10/02/2020,74.30,22 265 140.00,73.31,74.41,73.21,155
10/05/2020,72.67,24 908 460.00,73.78,74.34,72.43,156
10/06/2020,73.01,34 923 120.00,73.21,73.45,71.80,157
10/07/2020,74.30,23 756 620.00,73.25,74.50,73.25,158
10/08/2020,75.76,28 710 840.00,74.74,75.83,74.47,159
10/09/2020,78.46,49 651 200.00,77.15,79.69,76.63,160
10/12/2020,78.58,32 020 860.00,79.19,79.50,78.16,161
10/13/2020,78.40,38 619 800.00,78.93,79.38,77.53,162
10/14/2020,77.96,30 816 340.00,77.36,78.76,77.25,163
10/15/2020,78.65,28 702 740.00,78.29,79.06,78.15,164
10/16/2020,76.73,32 141 500.00,79.02,79.41,76.40,165
10/19/2020,77.80,44 851 440.00,76.35,78.88,76.28,166
10/20/2020,79.67,51 366 900.00,78.67,80.94,78.58,167
10/21/2020,80.77,28 680 840.00,79.65,81.10,79.25,168
10/22/2020,82.05,27 516 880.00,81.30,82.12,81.03,169
10/23/2020,79.52,37 065 080.00,81.25,81.91,78.83,170
10/26/2020,80.21,24 580 040.00,79.78,80.34,79.14,171
10/27/2020,75.83,36 679 180.00,77.99,78.07,75.73,172
10/28/2020,78.36,40 061 280.00,76.12,79.69,76.11,173
10/29/2020,81.05,86 617 240.00,83.61,84.35,80.22,174
10/30/2020,81.30,50 708 920.00,81.41,83.04,80.80,175
11/02/2020,82.51,33 233 060.00,81.59,83.09,80.83,176
11/03/2020,87.46,71 418 540.00,85.51,88.57,85.30,177
11/04/2020,88.17,41 316 240.00,89.05,89.68,87.53,178
11/05/2020,88.09,33 224 500.00,87.70,88.62,87.02,179
11/06/2020,88.15,45 365 400.00,89.55,90.90,88.00,180
11/09/2020,87.02,52 722 840.00,86.55,88.15,85.87,181
11/10/2020,87.64,25 279 320.00,87.50,88.21,87.37,182
11/11/2020,87.49,24 975 080.00,87.38,88.41,87.28,183
11/12/2020,88.85,30 011 480.00,87.88,89.05,87.23,184
11/13/2020,89.07,24 935 700.00,88.59,89.95,88.38,185
11/16/2020,88.51,22 942 280.00,88.85,89.25,88.35,186
11/17/2020,87.34,23 469 320.00,88.26,88.67,87.31,187
11/18/2020,88.20,24 998 200.00,86.92,88.48,86.85,188
11/19/2020,87.11,46 273 100.00,88.26,88.70,87.09,189
11/20/2020,86.74,43 239 500.00,87.48,87.70,85.89,190
11/23/2020,88.44,31 594 060.00,86.53,88.58,86.38,191
11/24/2020,88.57,20 922 440.00,88.64,88.93,87.83,192
11/25/2020,89.66,17 698 320.00,88.65,90.20,88.62,193
11/27/2020,88.04,36 476 720.00,89.06,89.40,87.75,194
11/30/2020,89.91,34 780 900.00,88.72,91.24,88.47,195
12/01/2020,91.40,24 440 640.00,89.91,91.78,89.47,196
12/02/2020,91.34,24 545 960.00,91.20,92.36,91.13,197
12/03/2020,91.40,27 563 320.00,91.23,91.66,90.85,198
12/04/2020,90.97,26 418 920.00,90.95,91.62,90.29,199
12/07/2020,90.93,21 926 380.00,90.51,91.10,89.81,200
12/08/2020,89.21,30 151 160.00,90.60,91.71,88.39,201
12/09/2020,88.77,27 256 960.00,88.49,89.07,87.02,202
12/10/2020,89.09,24 413 020.00,88.15,89.22,88.00,203
12/11/2020,88.00,32 003 460.00,88.75,89.87,87.86,204
12/14/2020,88.39,29 645 220.00,88.22,88.57,87.50,205
12/15/2020,88.15,30 270 860.00,88.64,88.65,87.80,206
12/16/2020,87.40,32 494 880.00,88.43,88.59,86.93,207
12/17/2020,86.55,80 327 060.00,87.71,87.76,86.01,208
12/18/2020,86.97,36 567 560.00,85.68,87.04,84.95,209
12/21/2020,86.18,18 766 920.00,86.72,86.87,85.63,210
12/22/2020,86.62,20 678 340.00,86.41,87.40,86.25,211
12/23/2020,86.94,6 935 060.00,86.75,87.30,86.46,212
12/24/2020,88.80,27 860 660.00,87.58,89.54,87.32,213
12/28/2020,87.94,25 987 900.00,89.39,89.62,87.80,214
12/29/2020,86.98,26 122 600.00,88.10,88.25,86.28,215
12/30/2020,87.59,20 244 800.00,86.77,87.95,86.77,216
12/31/2020,86.41,38 037 100.00,87.88,88.03,85.39,217
01/04/2021,87.05,22 906 940.00,86.25,87.38,85.90,218
01/05/2021,86.76,52 042 280.00,85.13,87.40,84.95,219
01/06/2021,89.36,45 300 440.00,87.00,89.42,86.85,220
01/07/2021,90.36,41 020 040.00,89.40,90.49,88.68,221
01/08/2021,88.34,24 194 700.00,89.30,89.72,88.03,222
01/11/2021,87.33,27 153 820.00,87.70,88.90,86.27,223
01/12/2021,87.72,21 882 620.00,86.93,88.25,86.90,224
01/13/2021,87.01,23 589 540.00,87.68,88.75,86.67,225
01/14/2021,86.81,26 843 400.00,86.91,87.80,86.08,226
01/15/2021,89.54,34 692 280.00,87.61,90.46,87.07,227
01/19/2021,94.35,49 805 160.00,91.57,95.19,91.28,228
01/20/2021,94.56,41 278 640.00,94.90,96.74,94.36,229
01/21/2021,95.05,25 444 640.00,94.78,95.55,94.09,230
01/22/2021,94.97,38 546 400.00,96.03,96.48,93.38,231
01/25/2021,95.86,26 262 780.00,94.44,96.25,94.21,232
01/26/2021,91.54,54 965 840.00,94.13,94.50,90.45,233
01/27/2021,93.16,35 462 760.00,92.20,94.94,92.13,234
01/28/2021,91.79,32 251 040.00,92.31,92.86,90.51,235
01/29/2021,95.07,32 043 640.00,92.68,96.12,92.55,236
02/01/2021,96.38,45 474 460.00,96.13,97.79,95.72,237
02/02/2021,103.50,82 363 400.00,103.65,105.83,100.92,238
02/03/2021,103.12,37 046 580.00,103.44,103.93,102.13,239
02/04/2021,104.90,30 702 700.00,103.50,105.13,102.97,240
02/05/2021,104.65,24 848 220.00,105.30,106.18,103.60,241
02/08/2021,104.18,17 797 000.00,103.93,105.26,103.93,242
02/09/2021,104.77,22 709 280.00,104.71,105.42,103.15,243
02/10/2021,104.79,18 913 000.00,104.98,105.10,103.87,244
02/11/2021,105.21,17 117 300.00,104.51,105.44,104.16,245
02/12/2021,106.10,22 676 760.00,105.22,107.63,105.22,246
02/16/2021,106.42,21 418 820.00,105.00,106.68,104.95,247
02/17/2021,105.86,22 437 100.00,105.52,106.64,105.19,248
02/18/2021,105.06,29 152 240.00,105.96,106.53,104.87,249
02/19/2021,103.24,27 350 660.00,103.35,104.57,103.11,250
02/22/2021,103.54,33 347 540.00,101.25,104.10,100.10,251
02/23/2021,104.76,24 966 980.00,102.09,105.04,101.91,252
02/24/2021,101.57,36 568 640.00,103.37,104.74,101.06,253
02/25/2021,101.84,41 676 020.00,102.53,103.55,100.80,254
02/26/2021,104.08,28 102 300.00,102.83,104.33,102.31,255
03/01/2021,103.79,22 691 900.00,103.81,105.22,103.56,256
03/02/2021,101.34,29 683 620.00,103.36,104.43,100.50,257
03/03/2021,102.45,42 360 120.00,101.17,104.46,101.01,258
03/04/2021,105.43,43 904 360.00,103.66,105.91,102.32,259
03/05/2021,101.21,32 948 580.00,105.06,106.44,101.08,260
03/08/2021,102.64,33 946 120.00,103.50,103.90,102.39,261
03/09/2021,102.75,25 371 840.00,103.59,103.75,101.67,262
03/10/2021,105.74,24 781 600.00,103.70,106.29,103.62,263
03/11/2021,103.10,34 515 880.00,104.25,104.51,102.38,264
03/12/2021,103.32,25 966 500.00,103.12,103.35,102.18,265
03/15/2021,104.63,29 831 280.00,103.95,106.18,103.50,266
03/16/2021,104.55,25 980 320.00,103.80,105.49,102.70,267
03/17/2021,101.81,27 248 600.00,103.05,103.78,101.68,268
03/18/2021,102.16,46 297 860.00,102.10,102.66,100.88,269
03/19/2021,101.93,39 096 320.00,102.09,102.90,101.30,270
03/22/2021,102.65,27 339 940.00,102.59,103.62,101.96,271
03/23/2021,102.25,23 080 580.00,103.27,103.91,102.08,272
03/24/2021,102.22,28 378 140.00,102.24,102.94,100.54,273
03/25/2021,101.78,29 876 000.00,101.94,102.55,100.70,274
03/26/2021,102.80,24 595 540.00,101.39,102.92,100.78,275
03/29/2021,102.78,20 735 480.00,102.88,103.54,102.20,276
03/30/2021,103.43,29 198 600.00,102.96,104.67,102.84,277
03/31/2021,106.89,33 979 560.00,104.90,107.15,104.84,278
04/01/2021,111.28,43 297 500.00,107.65,111.87,107.58,279
04/05/2021,111.24,27 060 720.00,111.13,111.88,110.74,280
04/06/2021,112.48,25 797 220.00,111.31,112.75,111.27,281
04/07/2021,113.27,27 165 180.00,113.90,114.20,112.88,282
04/08/2021,114.29,20 887 300.00,112.84,114.45,112.69,283
04/09/2021,112.74,31 317 020.00,113.31,113.77,111.92,284
04/12/2021,113.36,23 316 080.00,113.07,113.86,112.80,285
04/13/2021,112.74,20 219 340.00,113.76,113.90,112.46,286
04/14/2021,114.83,27 472 240.00,113.85,115.33,113.30,287
04/15/2021,114.89,22 601 800.00,115.15,115.32,114.22,288
04/16/2021,115.12,24 688 900.00,114.60,115.92,114.39,289
04/19/2021,114.68,21 774 980.00,115.39,115.48,113.59,290
04/20/2021,114.66,23 934 620.00,114.26,114.77,112.93,291
04/21/2021,113.40,21 096 160.00,114.66,115.19,112.82,292
04/22/2021,115.77,28 703 240.00,114.17,116.29,113.91,293
04/23/2021,116.34,20 833 000.00,116.00,117.06,115.69,294
04/26/2021,115.36,31 971 660.00,116.80,116.87,115.21,295
04/27/2021,119.00,59 728 780.00,120.36,122.62,118.74,296
04/28/2021,121.49,39 553 540.00,120.52,121.83,120.11,297
04/29/2021,120.51,39 142 600.00,120.22,121.36,120.11,298
04/30/2021,119.76,33 787 780.00,120.14,120.99,119.23,299
05/03/2021,117.71,35 120 300.00,118.49,118.96,115.59,300
05/04/2021,117.84,21 805 500.00,118.42,119.11,117.57,301
05/05/2021,119.07,20 617 180.00,117.53,119.14,117.12,302
05/06/2021,119.93,23 277 840.00,120.00,120.82,119.50,303
05/07/2021,117.08,26 005 420.00,118.74,118.90,116.74,304
05/10/2021,115.44,32 110 960.00,114.59,116.10,114.15,305
05/11/2021,111.95,34 933 280.00,113.09,114.27,111.50,306
05/12/2021,113.10,26 670 160.00,113.05,113.83,112.14,307
05/13/2021,115.81,26 624 960.00,114.59,116.06,114.17,308
05/14/2021,116.07,19 835 840.00,115.47,116.17,114.75,309
05/17/2021,115.17,17 302 380.00,116.85,117.16,115.16,310
05/18/2021,115.44,19 350 880.00,113.22,115.84,113.18,311
05/19/2021,117.80,23 831 860.00,116.40,118.02,116.05,312
05/20/2021,117.26,22 832 640.00,118.30,118.45,117.12,313
05/21/2021,120.33,21 243 780.00,118.35,120.92,118.01,314
05/24/2021,120.45,18 838 560.00,121.00,121.64,120.15,315
05/25/2021,121.68,21 856 380.00,120.64,122.15,120.63,316
05/26/2021,120.13,38 962 260.00,121.85,122.00,120.10,317
05/27/2021,120.58,24 107 640.00,121.10,121.41,120.38,318
05/28/2021,121.49,19 165 780.00,121.10,121.90,120.24,319
06/01/2021,121.06,17 162 100.00,121.77,122.10,120.21,320
06/02/2021,120.23,18 345 820.00,119.75,120.49,119.14,321
06/03/2021,122.59,25 948 680.00,121.13,122.69,120.89,322
06/04/2021,123.30,23 849 060.00,122.57,123.40,122.05,323
06/07/2021,124.14,25 065 060.00,124.00,124.72,123.41,324
06/08/2021,124.57,20 126 740.00,124.98,125.25,124.37,325
06/09/2021,126.08,31 234 660.00,124.70,126.16,124.70,326
06/10/2021,125.70,25 246 180.00,126.25,126.35,124.91,327
06/11/2021,126.35,22 550 440.00,125.67,126.41,125.05,328
06/14/2021,126.03,22 182 600.00,126.52,126.86,125.65,329
06/15/2021,125.70,26 316 760.00,126.25,126.52,124.15,330
06/16/2021,126.37,25 755 820.00,125.52,127.20,125.52,331
06/17/2021,125.57,53 306 200.00,125.71,126.39,124.60,332
06/18/2021,126.46,26 256 520.00,125.74,127.04,125.13,333
06/21/2021,127.00,20 986 200.00,126.45,127.27,126.03,334
06/22/2021,126.46,19 693 160.00,126.55,127.80,126.25,335
06/23/2021,127.28,18 933 240.00,127.05,127.54,126.96,336
06/24/2021,127.00,33 485 940.00,126.96,127.51,126.44,337
06/25/2021,126.82,28 110 860.00,127.00,127.34,125.97,338
06/28/2021,126.02,20 949 560.00,126.77,127.00,125.44,339
06/29/2021,125.32,24 009 560.00,125.65,125.80,124.76,340
06/30/2021,126.37,17 124 600.00,124.85,126.46,124.85,341
07/01/2021,128.72,21 165 120.00,126.84,128.85,126.77,342
07/02/2021,129.77,21 350 340.00,129.45,129.88,128.41,343
07/06/2021,130.08,16 683 720.00,130.34,130.64,129.76,344
07/07/2021,129.18,19 779 500.00,128.25,130.03,128.04,345
07/08/2021,129.57,15 109 320.00,128.94,129.85,128.94,346
07/09/2021,130.56,16 950 920.00,129.83,130.77,129.60,347
07/12/2021,130.99,16 617 960.00,130.88,132.04,130.64,348
07/13/2021,132.08,17 918 540.00,131.90,133.00,131.90,349
07/14/2021,131.27,16 586 320.00,132.50,132.60,130.60,350
07/15/2021,131.85,14 861 180.00,131.64,132.18,130.82,351
07/16/2021,129.25,25 709 320.00,131.16,131.25,128.54,352
07/19/2021,131.10,19 083 120.00,130.00,132.00,129.19,353
07/20/2021,132.60,14 741 640.00,130.79,132.62,130.60,354
07/21/2021,133.33,13 608 140.00,132.65,133.50,132.40,355
07/22/2021,137.82,26 377 740.00,135.26,138.81,134.70,356
07/23/2021,139.64,23 052 460.00,138.25,139.71,137.65,357
07/26/2021,136.80,42 163 060.00,140.01,140.01,135.10,358
07/27/2021,136.38,54 688 340.00,138.56,139.68,136.35,359
07/28/2021,136.54,19 283 340.00,136.38,137.15,136.14,360
07/29/2021,135.22,23 954 500.00,135.51,135.77,134.81,361
07/30/2021,135.99,20 140 040.00,135.48,136.02,134.67,362
08/02/2021,136.28,19 064 000.00,136.00,136.34,134.18,363
08/03/2021,136.03,16 527 140.00,136.25,136.54,135.42,364
08/04/2021,136.94,11 871 780.00,136.03,136.95,135.60,365
08/05/2021,137.04,13 565 020.00,136.30,137.08,136.05,366
08/06/2021,138.00,12 379 560.00,136.95,138.32,136.43,367
08/09/2021,138.10,16 039 080.00,138.08,138.55,137.23,368
08/10/2021,137.69,15 209 660.00,138.28,138.85,137.35,369
08/11/2021,138.39,14 649 400.00,137.71,138.42,136.78,370
08/12/2021,138.41,12 580 580.00,138.36,138.67,138.01,371
08/13/2021,138.92,18 050 840.00,138.00,138.99,136.17,372
08/16/2021,137.30,21 274 020.00,138.19,138.72,136.79,373
08/17/2021,136.57,14 934 460.00,137.12,138.29,136.42,374
08/18/2021,136.91,18 295 920.00,135.47,137.45,135.36,375
08/19/2021,138.44,15 566 740.00,137.08,138.61,136.47,376
08/20/2021,141.10,21 089 680.00,139.00,142.18,138.75,377
08/23/2021,142.40,15 126 260.00,141.54,143.01,141.35,378
08/24/2021,142.95,12 843 060.00,142.88,143.31,142.44,379
08/25/2021,142.12,14 922 000.00,142.62,143.13,142.09,380
08/26/2021,144.55,24 568 240.00,142.11,145.01,142.02,381
08/27/2021,145.47,16 915 900.00,144.70,146.49,144.60,382
08/30/2021,145.46,26 756 420.00,145.88,146.11,145.00,383
08/31/2021,145.84,15 824 680.00,145.65,146.82,145.61,384
09/01/2021,144.22,21 855 800.00,145.95,146.33,144.11,385
09/02/2021,144.78,19 110 480.00,144.15,145.38,143.51,386
09/03/2021,145.52,15 172 600.00,144.75,145.82,144.54,387
09/07/2021,144.88,15 491 660.00,145.39,145.55,144.20,388
09/08/2021,144.91,14 798 560.00,144.88,145.67,144.43,389
09/09/2021,141.92,32 896 620.00,145.44,146.02,141.74,390
09/10/2021,143.47,20 175 620.00,143.20,144.19,142.28,391
09/13/2021,143.41,18 919 140.00,144.16,144.73,142.91,392
09/14/2021,145.21,20 653 420.00,143.76,145.58,142.26,393
09/15/2021,144.37,20 298 840.00,145.12,145.20,143.42,394
09/16/2021,141.46,60 039 820.00,143.80,144.25,141.06,395
09/17/2021,139.02,34 917 720.00,139.00,139.36,137.05,396
09/20/2021,139.65,18 129 380.00,140.12,140.81,138.91,397
09/21/2021,140.94,22 067 800.00,140.05,141.58,139.47,398
09/22/2021,141.83,17 276 100.00,141.61,142.25,141.10,399
09/23/2021,142.63,14 949 340.00,140.95,142.90,140.85,400
09/24/2021,141.50,18 844 080.00,141.59,142.50,140.50,401
09/27/2021,136.18,42 189 660.00,139.09,139.61,135.70,402
09/28/2021,134.52,26 337 220.00,137.11,137.40,134.25,403
09/29/2021,133.27,35 363 980.00,134.33,135.59,133.00,404
09/30/2021,136.46,28 387 300.00,133.55,137.07,133.38,405
10/01/2021,133.77,31 529 900.00,135.70,135.70,131.17,406
10/04/2021,136.18,24 126 740.00,134.00,137.36,134.00,407
10/05/2021,137.35,19 764 320.00,134.63,137.85,134.49,408
10/06/2021,139.19,18 250 460.00,138.86,140.15,138.56,409
10/07/2021,140.06,18 928 420.00,139.91,140.32,139.43,410
10/08/2021,138.85,16 584 760.00,139.80,140.76,138.81,411
10/11/2021,136.71,22 535 020.00,139.64,139.70,136.25,412
10/12/2021,137.90,16 393 280.00,137.75,138.55,136.98,413
10/13/2021,141.41,21 437 560.00,139.95,141.65,139.34,414
10/14/2021,141.68,21 253 360.00,142.20,142.20,141.06,415
10/15/2021,142.96,16 567 200.00,141.21,143.00,141.21,416
10/18/2021,143.82,15 315 840.00,143.29,144.11,143.10,417
10/19/2021,142.42,17 939 500.00,144.22,144.25,141.91,418
10/20/2021,142.78,14 849 920.00,142.19,142.85,141.64,419
10/21/2021,138.63,30 182 640.00,140.35,141.56,137.17,420
10/22/2021,138.77,21 081 700.00,138.81,139.21,136.75,421
